테마분류,코스 아이디,관광지 아이디,지역 아이디,관광지명,경도(도),위도(도),코스순서,이동시간,실내구분,테마명,지역,관광지명_분리
TH05,60,6001,1111054000,(서울)아리랑고개,127.014023,37.60081,1,0,실외,종교/역사/전통,서울,아리랑고개
TH05,60,6002,1111054000,(서울)창신동 백남준생가 터,127.013521,37.572819,2,1,실외,종교/역사/전통,서울,창신동 백남준생가 터
TH05,60,6003,1111054000,(서울)박수근 집&작업실,127.015561,37.571042,3,3,실외,종교/역사/전통,서울,박수근 집&작업실
TH01,60,6004,1123060000,(서울)답십리고미술상가,127.050227,37.570533,4,4,실외,문화/예술,서울,답십리고미술상가
TH05,61,6101,1111058000,(서울)홍난파 가옥,126.96509,37.571652,1,0,실외,종교/역사/전통,서울,홍난파 가옥
TH02,61,6102,1111053000,(서울)새문길 박물관거리,126.97053,37.570132,2,1,실외,체험/학습/산업,서울,새문길 박물관거리
TH05,61,6103,1114052000,(서울)정동길,126.972368,37.56584,3,2,실외,종교/역사/전통,서울,정동길
TH01,61,6104,1114052000,(서울)서울시립미술관,126.974677,37.564262,4,3,실내,문화/예술,서울,서울시립미술관
TH01,61,6105,1114052000,(서울)덕수궁미술관,126.973743,37.565885,5,4,실내,문화/예술,서울,덕수궁미술관
TH01,62,6201,1171056601,(서울)소마미술관,127.118238,37.516683,1,0,실내,문화/예술,서울,소마미술관
TH01,62,6202,1159060500,(서울)예술의 전당 & 한가람미술관,127.011243,37.478796,2,2,실내,문화/예술,서울,예술의 전당 & 한가람미술관
TH01,63,6301,1111053000,(서울)세종문화회관,126.975888,37.572353,1,0,실내,문화/예술,서울,세종문화회관
TH05,63,6302,1111061500,(서울)대한민국역사박물관,126.978088,37.57387,2,1,실내,종교/역사/전통,서울,대한민국역사박물관
TH01,63,6303,1111054000,(서울)삼청동 갤러리 거리,126.979994,37.580411,3,3,실외,문화/예술,서울,삼청동 갤러리 거리
TH01,63,6304,1111054000,(서울)국립현대미술관 서울관,126.980691,37.578967,4,4,실내,문화/예술,서울,국립현대미술관 서울관
TH01,64,6401,1114052000,(서울)삼성미술관 플라토,126.974947,37.56161,1,0,실내,문화/예술,서울,삼성미술관 플라토
TH05,64,6402,1114052000,(서울)문화역 서울284,126.971612,37.555835,2,1,실내,종교/역사/전통,서울,문화역 서울284
TH05,64,6403,1117063000,(서울)국립중앙박물관,126.981058,37.523828,3,3,실내,종교/역사/전통,서울,국립중앙박물관
TH01,64,6404,1117068500,(서울)삼성미술관 리움,126.998851,37.538668,4,5,실내,문화/예술,서울,삼성미술관 리움
TH05,65,6501,1111051500,(서울)세종대왕 나신 곳,126.971193,37.579679,1,0,실외,종교/역사/전통,서울,세종대왕 나신 곳
TH05,65,6502,1111051500,(서울)이상 집터,126.970843,37.578608,2,1,실외,종교/역사/전통,서울,이상 집터
TH01,65,6503,1111051500,(서울)박노수미술관,126.966798,37.58129,3,1,실내,문화/예술,서울,박노수미술관
TH01,65,6504,1111051500,(서울)대림미술관,126.973331,37.577464,4,2,실내,문화/예술,서울,대림미술관
TH01,65,6505,1111055000,(서울)윤동주 시인의 언덕,126.966934,37.591987,5,3,실외,문화/예술,서울,윤동주 시인의 언덕
TH01,65,6506,1111055000,(서울)석파정 & 서울미술관,126.963186,37.594712,6,4,실내,문화/예술,서울,석파정 & 서울미술관
TH01,65,6507,1111055000,(서울)환기미술관,126.966252,37.594366,7,4,실내,문화/예술,서울,환기미술관
TH02,66,6601,1165052000,(서울)삼성딜라이트,127.026888,37.49664,1,0,실내,체험/학습/산업,서울,삼성딜라이트
TH02,66,6602,1165052000,(서울)미디어폴,127.02736,37.498823,2,2,실외,체험/학습/산업,서울,미디어폴
TH06,66,6603,1165052000,(서울)강남역 지하쇼핑센터,127.028041,37.498573,3,3,실내,쇼핑/놀이,서울,강남역 지하쇼핑센터
TH06,66,6604,1168051000,(서울)신사동 가로수길,127.023122,37.519343,4,5,실외,쇼핑/놀이,서울,신사동 가로수길
TH02,67,6701,1111054000,(서울)국립서울과학관,126.996914,37.582319,1,0,실내,체험/학습/산업,서울,국립서울과학관
TH02,67,6702,1165052000,(서울)한전아트센터 내 전기박물관,127.027991,37.485775,2,2,실내,체험/학습/산업,서울,한전아트센터 내 전기박물관
TH02,67,6703,1144066000,(서울)여의도 금융마루&증권거래소,126.927793,37.523044,3,4,실내,체험/학습/산업,서울,여의도 금융마루&증권거래소
TH02,68,6801,1144066000,(서울)T.um(티움/SK텔레콤 체험관),126.985071,37.566419,1,0,실내,체험/학습/산업,서울,T.um(티움/SK텔레콤 체험관)
TH02,68,6802,1111054000,(서울)KT올레스퀘어,126.977937,37.572406,2,2,실내,체험/학습/산업,서울,KT올레스퀘어
TH06,68,6803,1117051000,(서울)용산전자상가,126.963517,37.532969,3,4,실내,쇼핑/놀이,서울,용산전자상가
TH05,69,6901,1114055000,(서울)명동 대성당,126.986816,37.563843,1,0,실내,종교/역사/전통,서울,명동 대성당
TH05,69,6902,1114055000,(서울)김범우의 집 터,126.984441,37.565781,2,1,실외,종교/역사/전통,서울,김범우의 집 터
TH05,69,6903,1111061500,(서울)이벽의 집 터(수표교),126.989321,37.568391,3,1,실외,종교/역사/전통,서울,이벽의 집 터(수표교)
TH05,69,6904,1111061500,(서울)좌포도청 터,126.992265,37.570959,4,2,실외,종교/역사/전통,서울,좌포도청 터
TH05,69,6905,1111061500,(서울)종로성당,126.996641,37.571142,5,3,실내,종교/역사/전통,서울,종로성당
TH05,69,6906,1111065000,(서울)혜화동 카톨릭대학교 성신교정,127.004705,37.586258,6,3,실외,종교/역사/전통,서울,혜화동 카톨릭대학교 성신교정
TH05,69,6907,1111054000,(서울)북촌한옥마을 석정보름우물,126.986411,37.579041,7,4,실외,종교/역사/전통,서울,북촌한옥마을 석정보름우물
TH05,69,6908,1111054000,(서울)가회동 성당,126.984676,37.58217,8,4,실내,종교/역사/전통,서울,가회동 성당
TH05,70,7002,1111053000,(서울)형조 터,126.976081,37.572131,2,1,실외,종교/역사/전통,서울,형조 터
TH05,70,7003,1111061500,(서울)우포도청 터,126.977995,37.569508,3,1,실외,종교/역사/전통,서울,우포도청 터
TH05,70,7004,1111058000,(서울)경기감영 터,126.967004,37.567085,4,2,실외,종교/역사/전통,서울,경기감영 터
TH05,70,7005,1114068001,(서울)서소문 밖 네거리 순교성지,126.969663,37.560432,5,2,실외,종교/역사/전통,서울,서소문 밖 네거리 순교성지
TH05,70,7006,1114068001,(서울)중림동 약현성당,126.966995,37.558971,6,3,실내,종교/역사/전통,서울,중림동 약현성당
TH05,71,7102,1117056000,(서울)당고개 순교성지,126.966388,37.535487,2,1,실외,종교/역사/전통,서울,당고개 순교성지
TH05,71,7103,1117062500,(서울)왜고개 성지,126.971904,37.529862,3,3,실외,종교/역사/전통,서울,왜고개 성지
TH05,71,7104,1117064000,(서울)새남터 순교성지,126.956982,37.524845,4,4,실외,종교/역사/전통,서울,새남터 순교성지
TH05,71,7105,1144068000,(서울)절두산 순교성지,126.911609,37.544397,5,6,실외,종교/역사/전통,서울,절두산 순교성지
TH02,72,7201,1153053000,(서울)구로공단 장터길,126.885824,37.493698,1,0,실외,체험/학습/산업,서울,구로공단 장터길
TH02,72,7202,1153054000,(서울)산업화와 노동자의 길,126.895443,37.484523,2,2,실외,체험/학습/산업,서울,산업화와 노동자의 길
TH02,72,7203,1154551000,(서울)작가들이 사랑한 구로공단길,126.887475,37.47863,3,3,실외,체험/학습/산업,서울,작가들이 사랑한 구로공단길
TH05,73,7305,1130564501,(서울)대전차 장애물,127.003597,37.675264,5,6,실외,종교/역사/전통,서울,대전차 장애물
TH03,73,7306,1130564501,(서울)우이 우이령길 입구,127.011619,37.664431,6,8,실외,자연/힐링,서울,우이 우이령길 입구
TH05,74,7401,1168051000,(서울)봉은사,127.057458,37.515421,1,0,실외,종교/역사/전통,서울,봉은사
TH05,74,7402,1171056601,(서울)영화사,127.098223,37.554252,2,2,실외,종교/역사/전통,서울,영화사
TH05,74,7403,1111054000,(서울)조계사,126.98223,37.574068,3,4,실외,종교/역사/전통,서울,조계사
TH05,74,7404,1141062000,(서울)봉원사,126.946323,37.575879,4,5,실외,종교/역사/전통,서울,봉원사
TH05,74,7405,4128156000,(서울)승가사,126.960735,37.626816,5,7,실외,종교/역사/전통,서울,승가사
TH03,75,7501,1171051000,(서울)천호역,127.123431,37.538462,1,0,실외,자연/힐링,서울,천호역
TH05,75,7502,1171051000,(서울)미래마을/풍납토성,127.114194,37.535831,2,1,실외,종교/역사/전통,서울,미래마을/풍납토성
TH05,75,7503,1171056601,(서울)칠지도 상징물,127.117791,37.524385,3,3,실외,종교/역사/전통,서울,칠지도 상징물
TH05,75,7504,1171056601,(서울)몽촌토성,127.122791,37.52195,4,4,실외,종교/역사/전통,서울,몽촌토성
TH05,75,7505,1171056601,(서울)한성백제박물관,127.120636,37.515247,5,5,실내,종교/역사/전통,서울,한성백제박물관
TH05,76,7601,1111063000,(서울)흥인지문,127.00966,37.571158,1,0,실외,종교/역사/전통,서울,흥인지문
TH01,76,7602,1114059000,(서울)평화시장 벽화,127.006077,37.569279,2,1,실외,문화/예술,서울,평화시장 벽화
TH01,76,7603,1114059000,(서울)동대문디자인플라자,127.009456,37.566917,3,1,실내,문화/예술,서울,동대문디자인플라자
TH05,76,7604,1114059000,(서울)동대문역사문화공원,127.011007,37.567285,4,2,실외,종교/역사/전통,서울,동대문역사문화공원
TH05,76,7605,1114059000,(서울)동대문 실크로드 이정표,127.004895,37.56528,5,3,실외,종교/역사/전통,서울,동대문 실크로드 이정표
TH03,76,7606,1114059000,(서울)훈련원 공원,127.003698,37.5673,6,3,실외,자연/힐링,서울,훈련원 공원
TH06,76,7607,1114060500,(서울)방산시장,126.999602,37.567328,7,4,실외,쇼핑/놀이,서울,방산시장
TH06,76,7608,1111061500,(서울)광장시장,126.9996,37.570041,8,4,실외,쇼핑/놀이,서울,광장시장
TH05,77,7701,1111054000,(서울)장충단공원(수표교),127.004762,37.558747,1,0,실외,종교/역사/전통,서울,장충단공원(수표교)
TH05,77,7702,1111054000,(서울)서울 한양도성,126.989299,37.589352,2,1,실외,종교/역사/전통,서울,서울 한양도성
TH01,77,7703,1117051000,(서울)국립극장,126.999861,37.552621,3,2,실내,문화/예술,서울,국립극장
TH05,77,7704,1117051000,(서울)봉수대,126.987599,37.551743,4,2,실외,종교/역사/전통,서울,봉수대
TH05,77,7705,1117051000,(서울)N서울타워,126.989146,37.55093,5,3,실외,종교/역사/전통,서울,N서울타워
TH05,77,7706,1117051000,(서울)안중근의사기념관,126.980389,37.553476,6,3,실내,종교/역사/전통,서울,안중근의사기념관
TH05,78,7802,1111054000,(서울)가회동 11번지 한옥촌,126.986651,37.583383,2,1,실외,종교/역사/전통,서울,가회동 11번지 한옥촌
TH05,78,7803,1111054000,(서울)한상수자수공방,126.985617,37.582748,3,1,실내,종교/역사/전통,서울,한상수자수공방
TH05,78,7804,1111054000,(서울)가회민화박물관,126.985668,37.582099,4,2,실내,종교/역사/전통,서울,가회민화박물관
TH05,78,7805,1111054000,(서울)가회동 31번지 한옥촌,126.983766,37.583644,5,2,실외,종교/역사/전통,서울,가회동 31번지 한옥촌
TH05,78,7806,1111054000,(서울)북촌생활사박물관,126.982992,37.584452,6,3,실내,종교/역사/전통,서울,북촌생활사박물관
TH02,52,5201,1144066000,(서울)트릭아이미술관,126.921674,37.553478,1,0,실내,체험/학습/산업,서울,트릭아이미술관
TH01,52,5202,1144066000,(서울)KT&G 상상마당,126.921042,37.550915,2,2,실내,문화/예술,서울,KT&G 상상마당
TH01,52,5203,1144066000,(서울)홍대벽화거리&포시즌하우스,126.923716,37.550134,3,3,실외,문화/예술,서울,홍대벽화거리&포시즌하우스
TH01,52,5204,1144066000,(서울)공연장,126.926743,37.553482,4,5,실내,문화/예술,서울,공연장
TH01,53,5301,1156054000,(서울)KBS온(견학홀),126.916786,37.524553,1,0,실내,문화/예술,서울,KBS온(견학홀)
TH03,53,5302,1156054000,(서울)여의도 공원,126.922193,37.5259,2,1,실외,자연/힐링,서울,여의도 공원
TH06,53,5303,1156054000,(서울)IFC 몰,126.925423,37.524797,3,3,실내,쇼핑/놀이,서울,IFC 몰
TH01,53,5304,1156054000,(서울)63시티,126.939811,37.519475,4,4,실내,문화/예술,서울,63시티
TH02,54,5401,1144074000,(서울)DMC홍보관,126.892146,37.577733,1,0,실내,체험/학습/산업,서울,DMC홍보관
TH02,54,5402,1144074000,(서울)디지털파빌리온,126.890303,37.579196,2,1,실내,체험/학습/산업,서울,디지털파빌리온
TH02,54,5403,1144074000,(서울)한국영화박물관,126.889948,37.580375,3,2,실내,체험/학습/산업,서울,한국영화박물관
TH03,54,5404,1144074000,(서울)월드컵공원,126.878351,37.571553,4,4,실외,자연/힐링,서울,월드컵공원
TH06,55,5501,1114054000,(서울)남대문시장,126.977558,37.559064,1,0,실외,쇼핑/놀이,서울,남대문시장
TH06,55,5502,1114055000,(서울)명동거리,126.984657,37.562962,2,1,실외,쇼핑/놀이,서울,명동거리
TH06,55,5503,1111061500,(서울)종로보석상가,126.992641,37.571657,3,3,실내,쇼핑/놀이,서울,종로보석상가
TH06,55,5504,1111061500,(서울)인사동 전통시장,126.986513,37.572706,4,4,실외,쇼핑/놀이,서울,인사동 전통시장
TH03,56,5602,1117066000,(서울)남산야외식물원,126.997016,37.541437,2,1,실외,자연/힐링,서울,남산야외식물원
TH05,56,5604,1114057000,(서울)남산골한옥마을,126.994481,37.559331,4,4,실외,종교/역사/전통,서울,남산골한옥마을
TH06,57,5701,1171056601,(서울)롯데월드,127.099008,37.511973,1,0,실외,쇼핑/놀이,서울,롯데월드
TH01,57,5702,1168051000,(서울)코엑스몰,127.059261,37.511954,2,4,실내,문화/예술,서울,코엑스몰
TH06,57,5703,1168051000,(서울)압구정 로데오거리,127.037247,37.523521,3,8,실외,쇼핑/놀이,서울,압구정 로데오거리
TH01,58,5801,1171056601,(서울)광진교 8번가,127.113958,37.544503,1,0,실내,문화/예술,서울,광진교 8번가
TH01,58,5802,1168051000,(서울)뚝섬 전망문화콤플렉스,127.065748,37.530407,2,2,실내,문화/예술,서울,뚝섬 전망문화콤플렉스
TH01,58,5803,1117051000,(서울)반포대교 세빛둥둥섬 & 달빛분수,126.994971,37.511771,3,3,실내,문화/예술,서울,반포대교 세빛둥둥섬 & 달빛분수
TH03,58,5804,1144066000,(서울)한강(여의도),126.939071,37.52492,4,5,실외,자연/힐링,서울,한강(여의도)
TH02,59,5901,1111054000,(서울)한국현대문학관,127.004201,37.55983,1,0,실내,체험/학습/산업,서울,한국현대문학관
TH03,59,5903,1117051000,(서울)소월길,126.977826,37.55454,3,3,실외,자연/힐링,서울,소월길
TH01,59,5904,1111054000,(서울)문학의집&이희승기념시비,126.989294,37.558179,4,5,실내,문화/예술,서울,문학의집&이희승기념시비
TH04,267,26701,1144074000,(서울)월드컵공원 노을캠핑장,126.8785375,37.5693167,1,0,실외,캠핑/스포츠,서울,월드컵공원 노을캠핑장
TH03,267,26702,1144074000,(서울)한강시민공원 난지지구(난지한강공원),126.8854211,37.56283679,2,2,실외,자연/힐링,서울,한강시민공원 난지지구(난지한강공원)
TH05,267,26703,1156062000,(서울)한강방어백골부대전적비,126.8819122,37.5488355,3,4,실외,종교/역사/전통,서울,한강방어백골부대전적비
TH03,267,26704,1156062000,(서울)양화교 인공폭포,126.8821428,37.5500518,4,6,실외,자연/힐링,서울,양화교 인공폭포
TH03,267,26705,1144074000,(서울)월드컵공원,126.8984363,37.56352625,5,8,실외,자연/힐링,서울,월드컵공원
TH05,268,26803,1132052100,(서울)도봉서원,127.029151,37.68829535,3,4,실외,종교/역사/전통,서울,도봉서원
TH03,268,26805,1132052200,(서울)서울창포원,127.0471648,37.68954007,5,8,실외,자연/힐링,서울,서울창포원
TH05,295,29501,1111053000,(서울)광화문,126.9747661,37.57123291,1,0,실외,종교/역사/전통,서울,광화문
TH02,295,29502,1114057000,(서울)서울애니메이션센터,126.9882884,37.55831474,2,2,실외,체험/학습/산업,서울,서울애니메이션센터
TH03,295,29503,1114055000,(서울)남산,126.9867851,37.55979582,3,4,실외,자연/힐링,서울,남산
TH02,295,29504,1156054000,(서울)63스퀘어,126.9398838,37.51974082,4,6,실내,체험/학습/산업,서울,63스퀘어
TH01,295,29505,1144066000,(서울)트릭아트미술관,126.921674,37.5535197,5,8,실내,문화/예술,서울,트릭아트미술관
TH01,295,29506,1111061500,(서울)인사동,126.9865201,37.57329992,6,11,실외,문화/예술,서울,인사동
TH05,295,29507,1111060000,(서울)북촌 한옥마을,126.9893397,37.58303815,7,13,실외,종교/역사/전통,서울,북촌 한옥마을
TH05,295,29508,1111061500,(서울)창덕궁,126.9932026,37.5825519,8,15,실외,종교/역사/전통,서울,창덕궁
TH03,295,29509,1111061500,(서울)청계광장,126.9791179,37.56941014,9,17,실외,자연/힐링,서울,청계광장
TH04,427,42702,1150064000,(서울)아라한강갑문,126.799183,37.60014161,2,1,실외,캠핑/스포츠,서울,아라한강갑문
TH04,428,42802,1156054000,(서울)여의도 서강대교 남단,126.9216543,37.53195853,2,1,실외,캠핑/스포츠,서울,여의도 서강대교 남단
TH04,428,42803,1121584000,(서울)뚝섬 전망콜플렉스,127.0710216,37.52999177,3,2,실외,캠핑/스포츠,서울,뚝섬 전망콜플렉스
TH04,428,42804,1174061000,(서울)광나루 자전거공원,127.1198527,37.5454423,4,3,실외,캠핑/스포츠,서울,광나루 자전거공원
